Algorithm,NumEvaluations,Error,Time
NelderMead,5,1.46318000,0.0009
NelderMead,10,0.03682000,0.0008
NelderMead,20,0.00068000,0.0011
NelderMead,200,0.00002082,0.0025
CMAES,5,1.18919115,0.0010
CMAES,10,0.03038555,0.0018
CMAES,20,0.18743621,0.0048
CMAES,200,0.00000047,0.0275
HillClimber,20,1.19273643,0.0023
HillClimber,50,0.57434631,0.0054
HillClimber,200,0.00114957,0.0213
GA,10,0.07700573,0.0005
GA,20,9.53141672,0.0012
COGP,5,0.01318000,0.0364
COGP,10,0.01318000,0.0593
