Algorithm,NumEvaluations,Error
NelderMead,5,1.46318
NelderMead,10,0.03682
NelderMead,20,0.00068
NelderMead,200,2.08e-05
CMAES,5,1.484193
CMAES,10,0.27296
CMAES,20,0.09758
CMAES,200,4.77e-07
HillClimber,20,1.5787
HillClimber,50,0.000383
HillClimber,200,0.001012
GA,10,0.10944
GA,20,0.01477
