Algorithm,NumEvaluations,Error,Time
NelderMead,90,0.88896738,0.0099
CMAES,90,1.78416833,0.0119
HillClimber,90,0.71987493,0.0131
GA,90,2.00000000,0.0052
COGP,10,2.00000000,5.6128
COGP,30,0.99498744,31.0589
COGP,50,0.88881944,77.2563
